# Chunk-averaged data for fix ave_densityy and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
10000 100 20999.999999999996
  87 0.865 212.93 0.119672
  88 0.875 212.452 0.119403
  89 0.885 210.522 0.118319
  90 0.895 213.932 0.120235
  91 0.905 214.642 0.120634
  92 0.915 206.568 0.116096
  93 0.925 213.672 0.120089
  94 0.935 212.72 0.119554
  95 0.945 202.06 0.113563
  96 0.955 208.112 0.116964
  97 0.965 205.716 0.115618
  98 0.975 205.314 0.115392
  99 0.985 206.356 0.115977
  100 0.995 210.164 0.118117
40000 100 21000.000000000004
  1 0.005 208.07 0.116941
  2 0.015 210.572 0.118347
  3 0.025 215.708 0.121233
  4 0.035 209.528 0.11776
  5 0.045 208.952 0.117436
  6 0.055 215.722 0.121241
  7 0.065 211.536 0.118888
  8 0.075 208.516 0.117191
  9 0.085 215.29 0.120998
  10 0.095 203.96 0.114631
  11 0.105 215.962 0.121376
  12 0.115 207.872 0.116829
  13 0.125 203.004 0.114093
  14 0.135 211.648 0.118951
  15 0.145 209.424 0.117701
  16 0.155 203.724 0.114498
  17 0.165 213.586 0.120041
  18 0.175 205.816 0.115674
  19 0.185 211.014 0.118595
  20 0.195 207.226 0.116466
  21 0.205 206.866 0.116264
  22 0.215 209.108 0.117524
  23 0.225 208.846 0.117377
  24 0.235 212.076 0.119192
  25 0.245 208.186 0.117006
  26 0.255 204.862 0.115138
  27 0.265 216.874 0.121889
  28 0.275 209.376 0.117675
  29 0.285 212.05 0.119177
  30 0.295 214.22 0.120397
  31 0.305 210.062 0.11806
  32 0.315 209.594 0.117797
  33 0.325 212.084 0.119196
  34 0.335 208.454 0.117156
  35 0.345 206.534 0.116077
  36 0.355 214.264 0.120422
  37 0.365 210.496 0.118304
  38 0.375 204.942 0.115182
  39 0.385 206.096 0.115831
  40 0.395 217.148 0.122043
  41 0.405 203.628 0.114444
  42 0.415 209.146 0.117545
  43 0.425 212.09 0.1192
  44 0.435 201.186 0.113072
  45 0.445 212 0.119149
  46 0.455 216.624 0.121748
  47 0.465 202.784 0.11397
  48 0.475 215.826 0.1213
  49 0.485 212.77 0.119582
  50 0.495 207.67 0.116716
  51 0.505 214.458 0.120531
  52 0.515 203.208 0.114208
  53 0.525 207.876 0.116831
  54 0.535 214.758 0.120699
  55 0.545 206.022 0.115789
  56 0.555 204.21 0.114771
  57 0.565 220.366 0.123851
  58 0.575 203.15 0.114175
  59 0.585 207.994 0.116898
  60 0.595 220.716 0.124048
  61 0.605 207.044 0.116364
  62 0.615 205.082 0.115261
  63 0.625 214.11 0.120335
  64 0.635 208.626 0.117253
  65 0.645 213.562 0.120027
  66 0.655 214.034 0.120292
  67 0.665 210.972 0.118572
  68 0.675 219.544 0.123389
  69 0.685 209.08 0.117508
  70 0.695 210.678 0.118406
  71 0.705 218.648 0.122886
  72 0.715 211.548 0.118895
  73 0.725 211.852 0.119066
  74 0.735 215.572 0.121157
  75 0.745 208.808 0.117355
  76 0.755 208.218 0.117024
  77 0.765 209.418 0.117698
  78 0.775 210.784 0.118466
  79 0.785 206.45 0.11603
  80 0.795 203.782 0.114531
  81 0.805 205.308 0.115388
  82 0.815 209.628 0.117816
  83 0.825 201.884 0.113464
  84 0.835 206.6 0.116114
  85 0.845 204.46 0.114912
  86 0.855 209.12 0.117531
  87 0.865 200.222 0.11253
  88 0.875 208.454 0.117156
  89 0.885 211.002 0.118588
  90 0.895 206.544 0.116083
  91 0.905 213.228 0.119839
  92 0.915 211.208 0.118704
  93 0.925 211.554 0.118899
  94 0.935 217.396 0.122182
  95 0.945 207.306 0.116511
  96 0.955 210.426 0.118265
  97 0.965 218.64 0.122881
  98 0.975 208.788 0.117344
  99 0.985 207.306 0.116511
  100 0.995 217.364 0.122164
50000 100 21000.00000000001
  1 0.005 202.82 0.11399
  2 0.015 218.142 0.122601
  3 0.025 213.974 0.120259
  4 0.035 201.28 0.113124
  5 0.045 219.502 0.123366
  6 0.055 207.126 0.11641
  7 0.065 203.75 0.114513
  8 0.075 213.096 0.119765
  9 0.085 209.49 0.117739
  10 0.095 206.83 0.116244
  11 0.105 215.134 0.120911
  12 0.115 206.72 0.116182
  13 0.125 204.488 0.114927
  14 0.135 218.468 0.122784
  15 0.145 209.836 0.117933
  16 0.155 204.898 0.115158
  17 0.165 215.504 0.121119
  18 0.175 209.488 0.117737
  19 0.185 204.516 0.114943
  20 0.195 214.536 0.120575
  21 0.205 214.552 0.120584
  22 0.215 209.506 0.117748
  23 0.225 215.736 0.121249
  24 0.235 210.716 0.118428
  25 0.245 209.092 0.117515
  26 0.255 208.752 0.117324
  27 0.265 205.042 0.115239
  28 0.275 212.75 0.119571
  29 0.285 207.066 0.116376
  30 0.295 203.786 0.114533
  31 0.305 212.894 0.119652
  32 0.315 203.81 0.114546
  33 0.325 205.188 0.115321
  34 0.335 214.8 0.120723
  35 0.345 201.44 0.113214
  36 0.355 207.354 0.116538
  37 0.365 214.096 0.120327
  38 0.375 207.8 0.116789
  39 0.385 208.298 0.117069
  40 0.395 209.36 0.117666
  41 0.405 206.108 0.115838
  42 0.415 210.692 0.118414
  43 0.425 205.254 0.115358
  44 0.435 208.186 0.117006
  45 0.445 208.338 0.117091
  46 0.455 202.876 0.114021
  47 0.465 203.686 0.114477
  48 0.475 206.41 0.116008
  49 0.485 195.878 0.110088
  50 0.495 208.342 0.117093
  51 0.505 202.4 0.113754
  52 0.515 204.462 0.114913
  53 0.525 204.576 0.114977
  54 0.535 214.4 0.120498
  55 0.545 205.234 0.115347
  56 0.555 211.102 0.118645
  57 0.565 215.724 0.121242
  58 0.575 216.098 0.121452
  59 0.585 212.108 0.11921
  60 0.595 218.022 0.122534
  61 0.605 215.554 0.121147
  62 0.615 220.204 0.12376
  63 0.625 214.868 0.120761
  64 0.635 219.01 0.123089
  65 0.645 219.374 0.123294
  66 0.655 213.594 0.120045
  67 0.665 212.27 0.119301
  68 0.675 220.924 0.124165
  69 0.685 220.27 0.123797
  70 0.695 211.402 0.118813
  71 0.705 215.696 0.121227
  72 0.715 215.568 0.121155
  73 0.725 207.808 0.116793
  74 0.735 215.488 0.12111
  75 0.745 212.574 0.119472
  76 0.755 206.98 0.116328
  77 0.765 207.488 0.116613
  78 0.775 207.89 0.116839
  79 0.785 206.378 0.11599
  80 0.795 206.27 0.115929
  81 0.805 213.34 0.119902
  82 0.815 200.488 0.112679
  83 0.825 203.704 0.114487
  84 0.835 216.272 0.12155
  85 0.845 205.898 0.11572
  86 0.855 206.286 0.115938
  87 0.865 209.056 0.117495
  88 0.875 208.898 0.117406
  89 0.885 205.642 0.115576
  90 0.895 212.928 0.119671
  91 0.905 204.282 0.114812
  92 0.915 211.084 0.118634
  93 0.925 214.276 0.120428
  94 0.935 208.226 0.117028
  95 0.945 213.328 0.119896
  96 0.955 212.058 0.119182
  97 0.965 208.836 0.117371
  98 0.975 201.882 0.113463
  99 0.985 220.266 0.123795
  100 0.995 212.108 0.11921
60000 100 21000.000000000007
  1 0.005 210.358 0.118226
  2 0.015 213.158 0.1198
  3 0.025 201.288 0.113129
  4 0.035 209.604 0.117803
  5 0.045 208.264 0.11705
  6 0.055 206.55 0.116086
  7 0.065 204.558 0.114967
  8 0.075 208.97 0.117446
  9 0.085 216.4 0.121622
  10 0.095 204.268 0.114804
  11 0.105 206.792 0.116222
  12 0.115 215.284 0.120995
  13 0.125 211.538 0.11889
  14 0.135 211.894 0.11909
  15 0.145 208.446 0.117152
  16 0.155 204.778 0.11509
  17 0.165 220.3 0.123814
  18 0.175 209.15 0.117547
  19 0.185 214.426 0.120513
  20 0.195 208.414 0.117134
  21 0.205 210.678 0.118406
  22 0.215 205.826 0.115679
  23 0.225 204.628 0.115006
  24 0.235 209.398 0.117687
  25 0.245 207.83 0.116806
  26 0.255 208.384 0.117117
