# Chunk-averaged data for fix ave_densityz and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
10000 100 21000
  27 0.265 205.886 0.115713
  28 0.275 195.378 0.109807
  29 0.285 199.674 0.112222
  30 0.295 199.014 0.111851
  31 0.305 197.104 0.110777
  32 0.315 203.58 0.114417
  33 0.325 198.284 0.111441
  34 0.335 199.036 0.111863
  35 0.345 200.24 0.11254
  36 0.355 205.654 0.115583
  37 0.365 195.278 0.109751
  38 0.375 204.356 0.114853
  39 0.385 204.134 0.114728
  40 0.395 201.894 0.113469
  41 0.405 206.022 0.115789
  42 0.415 211.126 0.118658
  43 0.425 205.814 0.115673
  44 0.435 208.776 0.117337
  45 0.445 215.84 0.121307
  46 0.455 210.734 0.118438
  47 0.465 215.614 0.12118
  48 0.475 220.636 0.124003
  49 0.485 216.538 0.1217
  50 0.495 205.97 0.11576
  51 0.505 220.316 0.123823
  52 0.515 217.342 0.122152
  53 0.525 205.154 0.115302
  54 0.535 221.334 0.124395
  55 0.545 226.74 0.127434
  56 0.555 206.318 0.115956
  57 0.565 220.992 0.124203
  58 0.575 229.582 0.129031
  59 0.585 214.07 0.120313
  60 0.595 217.798 0.122408
  61 0.605 229.662 0.129076
  62 0.615 214.752 0.120696
  63 0.625 222.536 0.125071
  64 0.635 225.02 0.126467
  65 0.645 221.974 0.124755
  66 0.655 224.146 0.125976
  67 0.665 222.606 0.12511
  68 0.675 228.9 0.128647
  69 0.685 215.84 0.121307
  70 0.695 218.626 0.122873
  71 0.705 222.954 0.125306
  72 0.715 221.442 0.124456
  73 0.725 215.12 0.120903
  74 0.735 224.052 0.125923
  75 0.745 220.376 0.123857
  76 0.755 218.242 0.122657
  77 0.765 221.81 0.124663
  78 0.775 221.266 0.124357
  79 0.785 218.852 0.123
  80 0.795 222.89 0.12527
  81 0.805 219.792 0.123529
  82 0.815 223.146 0.125414
  83 0.825 216.75 0.121819
  84 0.835 224.32 0.126073
  85 0.845 223.336 0.12552
  86 0.855 211.272 0.11874
  87 0.865 222.596 0.125104
  88 0.875 216.88 0.121892
  89 0.885 210.48 0.118295
  90 0.895 214.262 0.120421
  91 0.905 210.95 0.118559
  92 0.915 212.104 0.119208
  93 0.925 210.904 0.118533
  94 0.935 211.456 0.118844
  95 0.945 208.116 0.116966
  96 0.955 206.276 0.115932
  97 0.965 212.098 0.119204
  98 0.975 206.142 0.115857
  99 0.985 201.896 0.113471
  100 0.995 207.006 0.116343
60000 100 21000.00000000001
  1 0.005 206.498 0.116057
  2 0.015 209.626 0.117815
  3 0.025 211.796 0.119035
  4 0.035 209.9 0.117969
  5 0.045 203.002 0.114092
  6 0.055 209.842 0.117936
  7 0.065 204.888 0.115152
  8 0.075 208.072 0.116942
  9 0.085 208.806 0.117354
  10 0.095 201.248 0.113106
  11 0.105 206.528 0.116074
  12 0.115 205.924 0.115734
  13 0.125 203.608 0.114433
  14 0.135 205.674 0.115594
  15 0.145 208.246 0.117039
  16 0.155 201.2 0.113079
  17 0.165 206.586 0.116106
  18 0.175 202.088 0.113578
  19 0.185 201.89 0.113467
  20 0.195 204.398 0.114877
  21 0.205 208.622 0.117251
  22 0.215 201.312 0.113142
  23 0.225 201.718 0.113371
  24 0.235 203.84 0.114563
  25 0.245 202.28 0.113686
  26 0.255 202.712 0.113929
  27 0.265 201.384 0.113183
  28 0.275 200.288 0.112567
  29 0.285 196.878 0.11065
  30 0.295 196.468 0.11042
  31 0.305 201.958 0.113505
  32 0.315 192.296 0.108075
  33 0.325 200.592 0.112738
  34 0.335 200.834 0.112874
  35 0.345 196.6 0.110494
  36 0.355 204.17 0.114749
  37 0.365 200.604 0.112744
  38 0.375 200.102 0.112462
  39 0.385 211.812 0.119044
  40 0.395 209.822 0.117925
  41 0.405 207.752 0.116762
  42 0.415 209.712 0.117863
  43 0.425 220.924 0.124165
  44 0.435 209.944 0.117994
  45 0.445 211.024 0.118601
  46 0.455 212.856 0.11963
  47 0.465 213.656 0.12008
  48 0.475 214.928 0.120795
  49 0.485 215.304 0.121006
  50 0.495 220.324 0.123828
  51 0.505 212.624 0.1195
  52 0.515 215.138 0.120913
  53 0.525 213.384 0.119927
  54 0.535 222.706 0.125166
  55 0.545 216.028 0.121413
  56 0.555 219.54 0.123387
  57 0.565 213.07 0.119751
  58 0.575 215.114 0.120899
  59 0.585 221.048 0.124234
  60 0.595 222.806 0.125223
  61 0.605 219.344 0.123277
  62 0.615 216.918 0.121913
  63 0.625 219.108 0.123144
  64 0.635 216.632 0.121753
  65 0.645 217.258 0.122104
  66 0.655 218.092 0.122573
  67 0.665 217.958 0.122498
  68 0.675 211.19 0.118694
  69 0.685 216.566 0.121715
  70 0.695 213.082 0.119757
  71 0.705 221.984 0.124761
  72 0.715 209.982 0.118015
  73 0.725 219.452 0.123337
  74 0.735 214.558 0.120587
  75 0.745 219.84 0.123556
  76 0.755 221.008 0.124212
  77 0.765 211.87 0.119076
  78 0.775 216.876 0.12189
  79 0.785 220.212 0.123765
  80 0.795 211.262 0.118734
  81 0.805 216.04 0.12142
  82 0.815 221.678 0.124589
  83 0.825 210.93 0.118548
  84 0.835 211.912 0.1191
  85 0.845 218.736 0.122935
  86 0.855 213.932 0.120235
  87 0.865 204.142 0.114733
  88 0.875 212.248 0.119289
  89 0.885 219.366 0.123289
  90 0.895 203.602 0.114429
  91 0.905 205.436 0.11546
  92 0.915 212.116 0.119214
  93 0.925 202.06 0.113563
  94 0.935 209.188 0.117569
  95 0.945 204.26 0.114799
  96 0.955 209.49 0.117739
  97 0.965 208.662 0.117273
  98 0.975 203.162 0.114182
  99 0.985 208.918 0.117417
  100 0.995 208.936 0.117427
70000 100 21000
  1 0.005 213.05 0.119739
  2 0.015 208.74 0.117317
  3 0.025 204.398 0.114877
  4 0.035 209.448 0.117715
  5 0.045 208.586 0.117231
  6 0.055 199.05 0.111871
  7 0.065 198.99 0.111837
  8 0.075 204.696 0.115044
  9 0.085 193.924 0.10899
  10 0.095 203.982 0.114643
  11 0.105 200.558 0.112719
  12 0.115 196.352 0.110355
  13 0.125 197.434 0.110963
  14 0.135 202.74 0.113945
  15 0.145 199.624 0.112194
  16 0.155 201.026 0.112982
  17 0.165 210.068 0.118063
  18 0.175 201.348 0.113163
  19 0.185 200.976 0.112954
  20 0.195 204.172 0.11475
  21 0.205 204.6 0.11499
  22 0.215 204.34 0.114844
  23 0.225 201.884 0.113464
  24 0.235 203.736 0.114505
  25 0.245 202.226 0.113656
  26 0.255 199.014 0.111851
  27 0.265 208.828 0.117367
  28 0.275 197.242 0.110855
  29 0.285 200.17 0.112501
  30 0.295 209.116 0.117528
  31 0.305 202.712 0.113929
  32 0.315 201.076 0.11301
  33 0.325 205.286 0.115376
  34 0.335 211.468 0.11885
  35 0.345 206.338 0.115967
  36 0.355 211.774 0.119022
  37 0.365 215.028 0.120851
  38 0.375 207.744 0.116757
  39 0.385 214.234 0.120405
  40 0.395 213.238 0.119845
  41 0.405 208.792 0.117346
  42 0.415 212.648 0.119513
  43 0.425 211.782 0.119027
  44 0.435 211.198 0.118699
  45 0.445 213.906 0.12022
  46 0.455 223.54 0.125635
  47 0.465 209.478 0.117732
  48 0.475 220.66 0.124016
  49 0.485 214.564 0.12059
  50 0.495 212.918 0.119665
  51 0.505 218.88 0.123016
  52 0.515 214.556 0.120586
  53 0.525 216.25 0.121538
  54 0.535 214.22 0.120397
  55 0.545 223.56 0.125646
  56 0.555 214.012 0.12028
  57 0.565 215.982 0.121387
  58 0.575 222.658 0.125139
  59 0.585 213.072 0.119752
  60 0.595 215.972 0.121382
  61 0.605 217.436 0.122204
  62 0.615 209.674 0.117842
  63 0.625 216.27 0.121549
  64 0.635 215.214 0.120956
  65 0.645 207.738 0.116754
  66 0.655 208.688 0.117288
  67 0.665 218.05 0.12255
  68 0.675 208.054 0.116932
  69 0.685 203.736 0.114505
  70 0.695 214.526 0.120569
  71 0.705 217.706 0.122356
  72 0.715 207.69 0.116727
  73 0.725 217.362 0.122163
  74 0.735 218.408 0.122751
  75 0.745 213.358 0.119912
  76 0.755 208.406 0.117129
  77 0.765 213.484 0.119983
  78 0.775 213.114 0.119775
  79 0.785 214.334 0.120461
  80 0.795 213.754 0.120135
  81 0.805 217.928 0.122481
  82 0.815 215.81 0.121291
  83 0.825 213.798 0.12016
  84 0.835 214.144 0.120354
  85 0.845 216.572 0.121719
  86 0.855 208.392 0.117121
  87 0.865 212.938 0.119676
  88 0.875 220.488 0.12392
  89 0.885 205.762 0.115643
  90 0.895 212.586 0.119479
  91 0.905 215.728 0.121244
  92 0.915 207.52 0.116631
  93 0.925 214.9 0.120779
  94 0.935 214.076 0.120316
  95 0.945 208.106 0.116961
  96 0.955 212.448 0.119401
  97 0.965 211.11 0.118649
  98 0.975 209.262 0.11761
  99 0.985 214.962 0.120814
  100 0.995 208.604 0.117241
80000 100 20999.999999999996
  1 0.005 207.708 0.116737
  2 0.015 209.246 0.117601
  3 0.025 202.924 0.114048
  4 0.035 209.428 0.117704
  5 0.045 206.06 0.115811
  6 0.055 201.204 0.113082
  7 0.065 205.78 0.115653
  8 0.075 212.268 0.1193
  9 0.085 193.826 0.108935
  10 0.095 206.98 0.116328
  11 0.105 208.402 0.117127
  12 0.115 195.622 0.109944
  13 0.125 200.286 0.112566
  14 0.135 204.922 0.115171
  15 0.145 198.174 0.111379
  16 0.155 204.18 0.114754
  17 0.165 205.264 0.115363
  18 0.175 202.528 0.113826
  19 0.185 203.018 0.114101
  20 0.195 208.842 0.117374
  21 0.205 201.11 0.113029
  22 0.215 200.962 0.112946
  23 0.225 207.662 0.116711
  24 0.235 210.912 0.118538
  25 0.245 203.882 0.114587
  26 0.255 210.458 0.118283
  27 0.265 209.118 0.11753
  28 0.275 206.512 0.116065
  29 0.285 208.066 0.116938
  30 0.295 203.526 0.114387
  31 0.305 212.18 0.11925
  32 0.315 205.246 0.115353
  33 0.325 209.314 0.11764
  34 0.335 207.886 0.116837
  35 0.345 204.148 0.114736
  36 0.355 211.974 0.119135
  37 0.365 210.432 0.118268
  38 0.375 207.95 0.116873
  39 0.385 215.474 0.121102
  40 0.395 210.854 0.118505
  41 0.405 210.956 0.118563
  42 0.415 219.536 0.123385
  43 0.425 213.322 0.119892
  44 0.435 210.392 0.118246
  45 0.445 215.866 0.121322
  46 0.455 217.162 0.12205
  47 0.465 209.034 0.117482
  48 0.475 215.02 0.120847
  49 0.485 207.978 0.116889
  50 0.495 213.548 0.120019
  51 0.505 209.564 0.11778
  52 0.515 213.646 0.120074
  53 0.525 216.978 0.121947
  54 0.535 216.852 0.121876
  55 0.545 212.472 0.119415
  56 0.555 217.2 0.122072
  57 0.565 215.262 0.120983
  58 0.575 207.726 0.116747
  59 0.585 214.092 0.120325
  60 0.595 214.128 0.120345
  61 0.605 209.272 0.117616
  62 0.615 208.366 0.117107
  63 0.625 213.544 0.120017
  64 0.635 212.398 0.119373
  65 0.645 218.764 0.122951
  66 0.655 213.23 0.119841
  67 0.665 215.208 0.120952
  68 0.675 214.438 0.120519
  69 0.685 211.94 0.119116
  70 0.695 216.28 0.121555
  71 0.705 212.864 0.119635
  72 0.715 217.254 0.122102
  73 0.725 216.996 0.121957
  74 0.735 217.076 0.122002
  75 0.745 211.65 0.118953
  76 0.755 214.72 0.120678
  77 0.765 222.452 0.125024
  78 0.775 210.906 0.118534
  79 0.785 212.912 0.119662
  80 0.795 214.684 0.120658
  81 0.805 210.176 0.118124
  82 0.815 210.094 0.118078
  83 0.825 205.96 0.115755
  84 0.835 208.944 0.117432
  85 0.845 214.444 0.120523
  86 0.855 207.254 0.116482
  87 0.865 213.074 0.119753
  88 0.875 204.62 0.115002
  89 0.885 210.6 0.118362
  90 0.895 209.834 0.117932
  91 0.905 209.806 0.117916
  92 0.915 212.34 0.11934
  93 0.925 212.208 0.119266
  94 0.935 209.76 0.11789
  95 0.945 213.3 0.11988
  96 0.955 214.502 0.120555
  97 0.965 207.048 0.116366
  98 0.975 209.644 0.117825
  99 0.985 210.978 0.118575
  100 0.995 205.398 0.115439
90000 100 21000.000000000004
  1 0.005 204.71 0.115052
  2 0.015 209.9 0.117969
  3 0.025 211.798 0.119036
  4 0.035 202.388 0.113747
  5 0.045 207.314 0.116516
  6 0.055 203.906 0.1146
  7 0.065 205.838 0.115686
  8 0.075 206.274 0.115931
  9 0.085 205.506 0.115499
  10 0.095 207.592 0.116672
  11 0.105 204.672 0.115031
  12 0.115 208.946 0.117433
  13 0.125 206.794 0.116223
  14 0.135 203.05 0.114119
  15 0.145 210.2 0.118138
  16 0.155 214.494 0.120551
  17 0.165 202.924 0.114048
  18 0.175 211.264 0.118736
  19 0.185 218.188 0.122627
  20 0.195 203.632 0.114446
  21 0.205 207.15 0.116423
  22 0.215 217.912 0.122472
  23 0.225 203.974 0.114638
  24 0.235 205.952 0.11575
  25 0.245 219.528 0.12338
  26 0.255 213.77 0.120144
  27 0.265 208.584 0.117229
  28 0.275 212.908 0.11966
  29 0.285 213.834 0.12018
  30 0.295 208.234 0.117033
  31 0.305 206.064 0.115813
  32 0.315 209.568 0.117782
  33 0.325 208.086 0.11695
  34 0.335 208.916 0.117416
  35 0.345 211.892 0.119089
  36 0.355 206.854 0.116257
  37 0.365 203.63 0.114445
  38 0.375 213.448 0.119963
  39 0.385 209.838 0.117934
  40 0.395 204.32 0.114833
  41 0.405 212.518 0.11944
  42 0.415 212.34 0.11934
  43 0.425 204.598 0.114989
  44 0.435 211.428 0.118828
  45 0.445 211.34 0.118778
  46 0.455 212.824 0.119612
  47 0.465 209.086 0.117512
  48 0.475 211.432 0.11883
  49 0.485 214.9 0.120779
  50 0.495 213.49 0.119987
  51 0.505 208.258 0.117046
  52 0.515 215.73 0.121246
  53 0.525 213.434 0.119955
