# Chunk-averaged data for fix ave_stressz and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_stress[3]
10000 100 21000
  21 0.205 189.796 0.0425863
  22 0.215 190.984 -0.0116648
  23 0.225 192.382 -0.0232067
  24 0.235 195.484 0.0491908
  25 0.245 189.58 0.0425312
  26 0.255 187.634 -0.0393841
  27 0.265 188.432 0.0136356
  28 0.275 190.072 0.0272088
  29 0.285 187.474 0.00137731
  30 0.295 191.77 0.0499711
  31 0.305 188.664 0.0152429
  32 0.315 189.722 -0.0212902
  33 0.325 197.944 0.0810464
  34 0.335 191.202 0.0237518
  35 0.345 191.208 -0.0434931
  36 0.355 193.462 0.103718
  37 0.365 200.198 0.0750289
  38 0.375 190.722 -0.0820588
  39 0.385 192.918 -0.018773
  40 0.395 206.668 0.167637
  41 0.405 199.156 -0.0413796
  42 0.415 199.13 0.00957409
  43 0.425 208.326 0.0189569
  44 0.435 213.334 0.0302395
  45 0.445 205.518 -0.0122349
  46 0.455 206.532 0.0311582
  47 0.465 217.442 0.0137725
  48 0.475 211.278 0.053735
  49 0.485 209.786 0.0493057
  50 0.495 220.368 0.129358
  51 0.505 213.8 -0.0909587
  52 0.515 211.484 0.0421068
  53 0.525 222.798 0.10021
  54 0.535 217.932 0.0407279
  55 0.545 211.508 -0.0594717
  56 0.555 221.202 0.0483411
  57 0.565 222.388 -0.000564493
  58 0.575 216.64 0.0106447
  59 0.585 229.064 0.0177597
  60 0.595 225.382 7.44402e-05
  61 0.605 225.818 0.0841647
  62 0.615 228.972 -0.0814199
  63 0.625 226.812 0.0266955
  64 0.635 226.266 0.0230347
  65 0.645 234.718 0.0665968
  66 0.655 227.162 0.0339232
  67 0.665 232.772 0.0288468
  68 0.675 227.138 -0.0192653
  69 0.685 234.956 0.0590769
  70 0.695 227.892 -0.0335572
  71 0.705 231.472 0.0208675
  72 0.715 236.572 0.0872403
  73 0.725 232.292 0.0310999
  74 0.735 225.934 -0.0751846
  75 0.745 232.87 0.0168178
  76 0.755 230.13 0.0463679
  77 0.765 231.224 0.0463191
  78 0.775 229.91 0.0259664
  79 0.785 230.378 -0.0293051
  80 0.795 229.026 0.0294372
  81 0.805 232.868 0.0779459
  82 0.815 228.744 -0.00633535
  83 0.825 228.832 0.0171014
  84 0.835 226.118 0.00226575
  85 0.845 229.078 0.0151831
  86 0.855 221.296 0.0323469
  87 0.865 221.91 0.0557265
  88 0.875 221.426 -0.0157361
  89 0.885 213.346 -0.113568
  90 0.895 217.948 0.106117
  91 0.905 219.67 0.00242082
  92 0.915 210.604 0.016207
  93 0.925 217.3 -0.0120197
  94 0.935 211.972 -0.0469099
  95 0.945 208.98 0.0376312
  96 0.955 212.834 0.0224455
  97 0.965 210.808 0.043706
  98 0.975 204.652 0.0455444
  99 0.985 203.088 -0.0630233
  100 0.995 206.006 0.0613456
50000 100 21000.000000000015
  1 0.005 209.578 0.0813322
  2 0.015 196.648 -0.0584984
  3 0.025 197.002 0.0560495
  4 0.035 204.202 0.0383015
  5 0.045 202.536 0.00305585
  6 0.055 191.034 0.0185731
  7 0.065 212.312 0.0941514
  8 0.075 201.132 0.0105591
  9 0.085 189.524 -0.0110931
  10 0.095 203.732 -0.00454196
  11 0.105 203.672 0.0467357
  12 0.115 192.594 0.0631546
  13 0.125 196.8 -0.0077157
  14 0.135 201.53 0.0537247
  15 0.145 194.37 0.0224166
  16 0.155 190.428 0.0340143
  17 0.165 204.6 0.00908942
  18 0.175 200.622 0.0683424
  19 0.185 198.37 0.0163016
  20 0.195 200.264 0.0425264
  21 0.205 202.256 0.0108639
  22 0.215 201.522 -0.00276956
  23 0.225 205.456 0.103919
  24 0.235 198.466 -0.0288545
  25 0.245 194.966 0.0719481
  26 0.255 199.308 -0.037442
  27 0.265 205.886 0.0509339
  28 0.275 195.378 0.10944
  29 0.285 199.674 -0.0202037
  30 0.295 199.014 0.0326125
  31 0.305 197.104 -0.00496721
  32 0.315 203.58 0.116591
  33 0.325 198.284 -0.0739268
  34 0.335 199.036 0.0251125
  35 0.345 200.24 0.0617535
  36 0.355 205.654 0.0383295
  37 0.365 195.278 0.0236341
  38 0.375 204.356 0.0707169
  39 0.385 204.134 -0.0928857
  40 0.395 201.894 0.10119
  41 0.405 206.022 0.0159916
  42 0.415 211.126 -0.0364826
  43 0.425 205.814 0.0192394
  44 0.435 208.776 0.0682016
  45 0.445 215.84 0.00010695
  46 0.455 210.734 0.020678
  47 0.465 215.614 -0.0702123
  48 0.475 220.636 0.0880741
  49 0.485 216.538 0.00214378
  50 0.495 205.97 -0.0867945
  51 0.505 220.316 0.0998079
  52 0.515 217.342 -0.0405262
  53 0.525 205.154 0.0356063
  54 0.535 221.334 0.0400208
  55 0.545 226.74 -0.0391372
  56 0.555 206.318 -0.0278267
  57 0.565 220.992 0.0489304
  58 0.575 229.582 0.00670894
  59 0.585 214.07 0.0291014
  60 0.595 217.798 -0.0688913
  61 0.605 229.662 0.000943536
  62 0.615 214.752 0.0551839
  63 0.625 222.536 0.0197824
  64 0.635 225.02 -0.0258189
  65 0.645 221.974 0.0416558
  66 0.655 224.146 -0.0293106
  67 0.665 222.606 0.0234611
  68 0.675 228.9 0.0678328
  69 0.685 215.84 -0.0221981
  70 0.695 218.626 -0.00498993
  71 0.705 222.954 0.1151
  72 0.715 221.442 0.0155122
  73 0.725 215.12 -0.0428698
  74 0.735 224.052 0.0884058
  75 0.745 220.376 -0.04006
  76 0.755 218.242 -0.0120639
  77 0.765 221.81 0.0760044
  78 0.775 221.266 0.0464593
  79 0.785 218.852 -0.0710729
  80 0.795 222.89 0.0785535
  81 0.805 219.792 0.0175093
  82 0.815 223.146 0.0207975
  83 0.825 216.75 -0.00266274
  84 0.835 224.32 0.0764328
  85 0.845 223.336 0.0279066
  86 0.855 211.272 -0.0326649
  87 0.865 222.596 0.00624656
  88 0.875 216.88 0.0920949
  89 0.885 210.48 0.0114043
  90 0.895 214.262 0.00666971
  91 0.905 210.95 0.0918523
  92 0.915 212.104 -0.00417725
  93 0.925 210.904 0.0253237
  94 0.935 211.456 0.0663625
  95 0.945 208.116 -0.052543
  96 0.955 206.276 0.0438375
  97 0.965 212.098 0.110757
  98 0.975 206.142 -0.0557159
  99 0.985 201.896 -0.0386576
  100 0.995 207.006 0.0961329
60000 100 21000.00000000001
  1 0.005 206.498 0.0128788
  2 0.015 209.626 -0.0267198
  3 0.025 211.796 -0.0131159
  4 0.035 209.9 0.082121
  5 0.045 203.002 -0.0847364
  6 0.055 209.842 0.0363675
  7 0.065 204.888 0.0516361
  8 0.075 208.072 -0.0808102
  9 0.085 208.806 0.0804075
  10 0.095 201.248 -0.000753783
  11 0.105 206.528 -0.0377076
  12 0.115 205.924 0.0266165
  13 0.125 203.608 0.0714432
  14 0.135 205.674 -0.0572214
  15 0.145 208.246 0.0360434
  16 0.155 201.2 -0.0159819
  17 0.165 206.586 0.097098
  18 0.175 202.088 0.0266291
  19 0.185 201.89 -0.00309243
  20 0.195 204.398 0.0261183
  21 0.205 208.622 0.0312979
  22 0.215 201.312 0.0289502
  23 0.225 201.718 0.0841026
  24 0.235 203.84 -0.011028
  25 0.245 202.28 0.0094358
  26 0.255 202.712 0.0880162
  27 0.265 201.384 0.00918375
  28 0.275 200.288 -0.0299154
  29 0.285 196.878 0.108129
  30 0.295 196.468 0.034772
  31 0.305 201.958 0.0150406
  32 0.315 192.296 0.0622097
  33 0.325 200.592 0.0452962
  34 0.335 200.834 0.0229169
  35 0.345 196.6 0.0212096
  36 0.355 204.17 0.0861403
  37 0.365 200.604 0.0113269
  38 0.375 200.102 0.00143811
  39 0.385 211.812 0.0488803
  40 0.395 209.822 0.09865
  41 0.405 207.752 -0.0298125
  42 0.415 209.712 0.040667
  43 0.425 220.924 0.0963593
  44 0.435 209.944 0.0317016
  45 0.445 211.024 0.0281331
  46 0.455 212.856 0.0234309
  47 0.465 213.656 0.0299915
  48 0.475 214.928 -0.0323967
  49 0.485 215.304 0.131562
  50 0.495 220.324 -0.0250437
  51 0.505 212.624 -9.40045e-05
  52 0.515 215.138 0.103814
  53 0.525 213.384 -0.0251598
  54 0.535 222.706 0.0702154
  55 0.545 216.028 0.0316995
  56 0.555 219.54 0.0632885
  57 0.565 213.07 -0.00997358
  58 0.575 215.114 -0.0141132
  59 0.585 221.048 0.0216902
  60 0.595 222.806 0.0489683
  61 0.605 219.344 0.0313693
  62 0.615 216.918 -0.0308706
  63 0.625 219.108 0.0381402
  64 0.635 216.632 0.0246323
  65 0.645 217.258 -0.0190932
  66 0.655 218.092 0.0839855
  67 0.665 217.958 0.118027
  68 0.675 211.19 -0.141023
  69 0.685 216.566 0.0406306
  70 0.695 213.082 0.0442752
  71 0.705 221.984 0.0780762
  72 0.715 209.982 0.042222
  73 0.725 219.452 0.0127395
  74 0.735 214.558 -0.0339084
  75 0.745 219.84 0.0886814
  76 0.755 221.008 0.00641784
  77 0.765 211.87 -0.0105814
  78 0.775 216.876 0.0553406
  79 0.785 220.212 0.00719019
  80 0.795 211.262 -0.00846299
  81 0.805 216.04 -0.00135194
  82 0.815 221.678 0.109663
  83 0.825 210.93 0.016025
  84 0.835 211.912 -0.0608758
  85 0.845 218.736 0.154463
  86 0.855 213.932 -0.00553296
  87 0.865 204.142 0.0468351
  88 0.875 212.248 -0.00092834
  89 0.885 219.366 0.0563907
  90 0.895 203.602 0.0590546
  91 0.905 205.436 0.00829581
  92 0.915 212.116 0.0359006
  93 0.925 202.06 0.0762791
  94 0.935 209.188 -0.0525793
  95 0.945 204.26 0.0234161
  96 0.955 209.49 0.0222431
  97 0.965 208.662 0.0409131
  98 0.975 203.162 -0.016602
  99 0.985 208.918 -0.0264856
  100 0.995 208.936 0.0450936
70000 100 21000
  1 0.005 213.05 0.0662131
  2 0.015 208.74 0.0308235
  3 0.025 204.398 0.0101474
  4 0.035 209.448 0.0466217
  5 0.045 208.586 0.0961458
  6 0.055 199.05 0.114087
  7 0.065 198.99 -0.0547686
  8 0.075 204.696 0.115024
  9 0.085 193.924 0.100751
  10 0.095 203.982 0.0862397
  11 0.105 200.558 0.0389368
  12 0.115 196.352 0.0577742
  13 0.125 197.434 0.120614
  14 0.135 202.74 0.0119249
  15 0.145 199.624 0.0583329
  16 0.155 201.026 0.0517523
  17 0.165 210.068 0.0135259
  18 0.175 201.348 0.0983519
  19 0.185 200.976 0.0395279
  20 0.195 204.172 0.00388343
  21 0.205 204.6 0.119835
  22 0.215 204.34 0.101523
  23 0.225 201.884 0.00970254
  24 0.235 203.736 0.0375079
  25 0.245 202.226 0.0826488
  26 0.255 199.014 0.121856
  27 0.265 208.828 0.0293177
  28 0.275 197.242 0.0266454
  29 0.285 200.17 0.124727
  30 0.295 209.116 0.0122269
  31 0.305 202.712 0.104581
  32 0.315 201.076 0.0277709
  33 0.325 205.286 0.0116229
  34 0.335 211.468 0.00158673
  35 0.345 206.338 0.131846
  36 0.355 211.774 -0.00103594
  37 0.365 215.028 0.0140106
  38 0.375 207.744 0.0537105
  39 0.385 214.234 0.0862994
  40 0.395 213.238 0.0112665
  41 0.405 208.792 0.0926506
  42 0.415 212.648 0.0814093
  43 0.425 211.782 -0.0213725
  44 0.435 211.198 0.0926357
  45 0.445 213.906 0.0259461
  46 0.455 223.54 0.068845
  47 0.465 209.478 -0.00530872
  48 0.475 220.66 0.0360928
  49 0.485 214.564 0.0922453
  50 0.495 212.918 0.0253391
  51 0.505 218.88 0.0123284
  52 0.515 214.556 0.072665
  53 0.525 216.25 -0.00684836
  54 0.535 214.22 0.0404412
  55 0.545 223.56 0.0588018
  56 0.555 214.012 -0.0157361
  57 0.565 215.982 0.0250471
  58 0.575 222.658 0.031366
  59 0.585 213.072 0.0709755
  60 0.595 215.972 0.0271639
  61 0.605 217.436 -0.098976
  62 0.615 209.674 0.0652684
  63 0.625 216.27 0.117807
  64 0.635 215.214 0.0411316
  65 0.645 207.738 0.0159787
  66 0.655 208.688 0.00121152
  67 0.665 218.05 0.135778
  68 0.675 208.054 -0.0175774
  69 0.685 203.736 0.0680024
  70 0.695 214.526 0.0241324
  71 0.705 217.706 0.0958403
  72 0.715 207.69 -0.00706358
  73 0.725 217.362 0.0600992
  74 0.735 218.408 0.0759374
  75 0.745 213.358 0.0900352
  76 0.755 208.406 0.0419408
  77 0.765 213.484 -0.0311903
  78 0.775 213.114 0.0462847
  79 0.785 214.334 0.101401
  80 0.795 213.754 0.00467977
  81 0.805 217.928 0.0523439
  82 0.815 215.81 0.0490228
  83 0.825 213.798 0.0877952
  84 0.835 214.144 0.0698868
  85 0.845 216.572 0.0327707
  86 0.855 208.392 0.0549076
  87 0.865 212.938 0.087942
  88 0.875 220.488 0.144627
  89 0.885 205.762 -0.0373536
  90 0.895 212.586 0.0736559
  91 0.905 215.728 0.102232
  92 0.915 207.52 0.0354966
  93 0.925 214.9 0.0451918
  94 0.935 214.076 0.0763921
  95 0.945 208.106 0.0444655
  96 0.955 212.448 -0.0248578
  97 0.965 211.11 0.124549
  98 0.975 209.262 -0.0269443
