# Chunk-averaged data for fix ave_stressy and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_stress[2]
10000 100 20999.999999999996
  76 0.755 216.712 0.0929422
  77 0.765 221.21 0.0236032
  78 0.775 213.076 0.0306767
  79 0.785 214.174 0.0343992
  80 0.795 225.24 0.0894472
  81 0.805 209.03 0.0612437
  82 0.815 209.314 0.0133854
  83 0.825 212.89 0.00287842
  84 0.835 212.404 0.191178
  85 0.845 210.742 0.113274
  86 0.855 210.22 -0.0107987
  87 0.865 208.216 0.0684592
  88 0.875 213.774 0.105094
  89 0.885 207.184 0.0970597
  90 0.895 210.126 0.124908
  91 0.905 205.274 0.0763541
  92 0.915 208.038 0.0373117
  93 0.925 206.278 0.0926775
  94 0.935 203.32 0.0818879
  95 0.945 209.144 0.108272
  96 0.955 198.2 0.0511004
  97 0.965 205.062 0.0870251
  98 0.975 204.598 0.0925614
  99 0.985 206.15 0.120765
  100 0.995 207.28 0.0253046
80000 100 20999.999999999996
  1 0.005 211.81 0.171388
  2 0.015 209.942 -0.00780943
  3 0.025 209.912 0.0131118
  4 0.035 210.744 0.0478418
  5 0.045 211.554 0.00451105
  6 0.055 213.072 0.100909
  7 0.065 205 -0.0455713
  8 0.075 213.044 0.0587518
  9 0.085 208.768 0.0230767
  10 0.095 209.042 0.0265651
  11 0.105 211.768 -0.00385346
  12 0.115 212.436 0.0909511
  13 0.125 208.854 0.0579336
  14 0.135 211.292 -0.0250959
  15 0.145 204.9 0.0748683
  16 0.155 211.808 0.0619955
  17 0.165 206.822 -0.0518618
  18 0.175 211.634 0.0787338
  19 0.185 210.528 0.140798
  20 0.195 213.96 -0.0167006
  21 0.205 205.278 0.0767113
  22 0.215 211.3 0.051439
  23 0.225 213.75 0.0248738
  24 0.235 207.464 0.0864959
  25 0.245 207.924 0.0869401
  26 0.255 208.588 0.00903435
  27 0.265 210.15 0.0696191
  28 0.275 208.736 0.0369065
  29 0.285 216.184 0.101335
  30 0.295 208.646 0.0300833
  31 0.305 210.85 0.0596062
  32 0.315 211.938 0.0961835
  33 0.325 209.166 0.135841
  34 0.335 205.452 -0.0217476
  35 0.345 207.602 0.0810713
  36 0.355 214.048 0.186067
  37 0.365 210.13 -0.0194947
  38 0.375 202.09 0.0865603
  39 0.385 207.166 0.131945
  40 0.395 205.898 0.0670651
  41 0.405 204.9 0.00858954
  42 0.415 204.59 0.118636
  43 0.425 203.408 0.0972389
  44 0.435 201.638 0.0163524
  45 0.445 205.064 0.171579
  46 0.455 201.834 -0.00712819
  47 0.465 210.666 0.150993
  48 0.475 201.502 0.0320242
  49 0.485 202.566 0.115852
  50 0.495 205.646 0.0350371
  51 0.505 204.684 0.0945415
  52 0.515 206.782 0.0531102
  53 0.525 203.612 0.0113679
  54 0.535 202.696 0.076483
  55 0.545 210.884 0.0689951
  56 0.555 208.768 0.137771
  57 0.565 198.05 -0.0076566
  58 0.575 219.896 0.102035
  59 0.585 207.682 -0.0338046
  60 0.595 207.456 0.158877
  61 0.605 221.728 0.0133653
  62 0.615 218.118 0.0633309
  63 0.625 205.988 -0.0318977
  64 0.635 217.48 0.0081162
  65 0.645 222.416 0.115392
  66 0.655 209.194 -0.00179173
  67 0.665 215.684 -0.0434611
  68 0.675 221.426 0.0663742
  69 0.685 206.382 0.0829253
  70 0.695 214.664 -0.0118829
  71 0.705 214.978 0.0280511
  72 0.715 208.748 -0.00751813
  73 0.725 215.78 0.0736833
  74 0.735 218.73 -0.00408012
  75 0.745 213.866 -0.0216358
  76 0.755 218.962 0.0709401
  77 0.765 219.65 -0.0404026
  78 0.775 213.452 0.0465509
  79 0.785 216.79 -0.0102727
  80 0.795 218.148 0.00144612
  81 0.805 216.328 0.0573573
  82 0.815 215.994 -0.0288293
  83 0.825 214.09 0.00611018
  84 0.835 205.898 0.0527352
  85 0.845 215.142 0.0501812
  86 0.855 206.456 -0.0286112
  87 0.865 203.164 0.0929266
  88 0.875 210.108 0.01662
  89 0.885 207.884 0.0689803
  90 0.895 204.172 0.0571781
  91 0.905 210.116 0.0464952
  92 0.915 209.828 0.0753189
  93 0.925 204.552 0.0649871
  94 0.935 210.84 0.0553774
  95 0.945 204.598 0.0307319
  96 0.955 206.994 0.111178
  97 0.965 207.366 0.0830595
  98 0.975 209.892 0.114132
  99 0.985 215.262 -0.0378715
  100 0.995 207.558 -0.0192119
90000 100 21000.00000000001
  1 0.005 209.85 0.0291569
  2 0.015 209.544 0.0114464
  3 0.025 215.972 0.0106856
  4 0.035 216.858 -0.0348189
